,training_mean,recent_mean,mean_difference,training_std,recent_std,std_difference,possible_drift
num__total_orders,0.0,2.0,2.0,1.005037815259212,1.4770978917519928,0.4720600764927807,True
num__total_spent,-8.326672684688674e-18,7517.8125,7517.8125,1.005037815259212,6203.60361411473,6202.598576299471,True
num__average_order_amount,-2.2204460492503132e-17,3296.116665714286,3296.116665714286,1.005037815259212,2158.4389756300043,2157.433937814745,True
num__successful_payments,2.220446049250313e-18,0.67,0.67,1.005037815259212,0.7255092255537737,-0.27952858970543837,False
cat__city_Abu Dhabi,0.31,0.31,0.0,0.46482319871173167,0.46482319871173167,0.0,False
cat__city_Ajman,0.27,0.27,0.0,0.4461960433384737,0.4461960433384737,0.0,False
cat__city_Dubai,0.26,0.26,0.0,0.4408440022768081,0.4408440022768081,0.0,False
cat__city_Sharjah,0.16,0.16,0.0,0.3684529491774707,0.3684529491774707,0.0,False
